Data,Età,Infected,Removed
2021-05-19,20-39,0.24902050280247567,0.24165423585038165
2021-05-19,40-59,0.32430759680864657,0.3358321725995016
2021-05-19,60-79,0.19502674675478796,0.19114218984812661
2021-05-19,80-89,0.046917276760447664,0.06282840810235701
2021-05-19,90+,0.013440928924835229,0.02212759319226138
2021-05-20,0-19,0.17023570211917075,0.14686896680789696
2021-05-20,20-39,0.2480991145825341,0.24185251593141133
2021-05-20,40-59,0.3245968051314316,0.33568815027748383
2021-05-20,60-79,0.1956128101646539,0.19104648490661325
2021-05-20,80-89,0.047654487700830174,0.06254993401760539
2021-05-20,90+,0.013801080301379533,0.021993948058989223
2021-05-21,0-19,0.1693858830409825,0.14725072825992808
2021-05-21,20-39,0.24693261978104733,0.24206155008906344
2021-05-21,40-59,0.32480982843500517,0.33558293993225224
2021-05-21,60-79,0.19641648273734894,0.19090233187995576
2021-05-21,80-89,0.04829897093048874,0.062323912200584135
2021-05-21,90+,0.014156215075127281,0.021878537638216372
2021-05-22,0-19,0.16910258712712053,0.14740659815361656
2021-05-22,20-39,0.24724912171665298,0.2420364760540672
2021-05-22,40-59,0.3249739188690172,0.33554304464547713
2021-05-22,60-79,0.19625924946879245,0.19088404088093194
2021-05-22,80-89,0.04823142690523419,0.06227916977106198
2021-05-22,90+,0.014183695913182625,0.021850670494845157
2021-05-23,0-19,0.16658888520512133,0.14801795049403377
2021-05-23,20-39,0.24557120804816396,0.24232111288948655
2021-05-23,40-59,0.32593881520180595,0.33532446419334433
2021-05-23,60-79,0.19797951215185758,0.1906177567404354
2021-05-23,80-89,0.04934441842343665,0.061989512186473354
2021-05-23,90+,0.014577160969614549,0.02172920349622657
2021-05-24,0-19,0.16643673776449772,0.148166863978559
2021-05-24,20-39,0.24580989012153384,0.24229720224257284
2021-05-24,40-59,0.32623626519173105,0.3352858248091984
2021-05-24,60-79,0.19766680441209192,0.19059761317915533
2021-05-24,80-89,0.04923657246998739,0.06194665634033234
2021-05-24,90+,0.014613730040158089,0.021705839450182146
2021-05-25,0-19,0.16643673776449772,0.148166863978559
2021-05-25,20-39,0.24580989012153384,0.24229720224257284
2021-05-25,40-59,0.32623626519173105,0.3352858248091984
2021-05-25,60-79,0.19766680441209192,0.19059761317915533
2021-05-25,80-89,0.04923657246998739,0.06194665634033234
2021-05-25,90+,0.014613730040158089,0.021705839450182146
2021-05-26,0-19,0.16590072446348694,0.14866432337901972
2021-05-26,20-39,0.2433033083989687,0.2426551296621827
2021-05-26,40-59,0.3278798248466937,0.33497592419696076
2021-05-26,60-79,0.19725250639856332,0.1906209392797785
2021-05-26,80-89,0.05037071602633898,0.0615787880554626
2021-05-26,90+,0.01529291986594833,0.021504895426595755
2021-05-27,0-19,0.16509621466482996,0.1489185057214843
2021-05-27,20-39,0.24157793550354884,0.2428482767881026
2021-05-27,40-59,0.3282373853411702,0.33491617335626933
2021-05-27,60-79,0.19804195594400875,0.19053208799550866
2021-05-27,80-89,0.051338655119740194,0.06137234212393254
2021-05-27,90+,0.0157078534267021,0.02141261401470257
2021-05-28,0-19,0.16485628489962295,0.14903675601168642
2021-05-28,20-39,0.24206416353290888,0.2428299045710471
2021-05-28,40-59,0.32846243405218245,0.3348912422222146
2021-05-28,60-79,0.1975264990895476,0.19053164168341727
2021-05-28,80-89,0.051391944074735386,0.06131734208435022
2021-05-28,90+,0.01569867435100276,0.021393113427284383
2021-05-29,0-19,0.16448286328634137,0.14914372186015332
