Data,Età,Deceased
2021-07-05,80-89,0.40362092369858255
2021-07-05,90+,0.19370521198345803
2021-07-06,0-19,0.00022096133965703642
2021-07-06,20-39,0.0025805127881375328
2021-07-06,40-59,0.04435009745973374
2021-07-06,60-79,0.35553468698458796
2021-07-06,80-89,0.4036174527892423
2021-07-06,90+,0.1936962886386414
2021-07-07,0-19,0.0002208950984955466
2021-07-07,20-39,0.002579739186001562
2021-07-07,40-59,0.044368358354962646
2021-07-07,60-79,0.35554643924990337
2021-07-07,80-89,0.40362267961532694
2021-07-07,90+,0.19366188849530994
2021-07-08,0-19,0.0002208602506763845
2021-07-08,20-39,0.0025793322132563476
2021-07-08,40-59,0.044408686118144455
2021-07-08,60-79,0.3555376763924056
2021-07-08,80-89,0.40359055664671034
2021-07-08,90+,0.19366288837880688
2021-07-09,0-19,0.0002208341220266263
2021-07-09,20-39,0.0025790270679538142
2021-07-09,40-59,0.04443498012492902
2021-07-09,60-79,0.3555587103287274
2021-07-09,80-89,0.40357435800365954
2021-07-09,90+,0.19363209035270365
2021-07-10,0-19,0.00022079929344226098
2021-07-10,20-39,0.002578620319843548
2021-07-10,40-59,0.044451629183358043
2021-07-10,60-79,0.3555341765763492
2021-07-10,80-89,0.4035659085890925
2021-07-10,90+,0.1936488660379144
2021-07-11,0-19,0.0002207923290436538
2021-07-11,20-39,0.002578538985616957
2021-07-11,40-59,0.044450227100681305
2021-07-11,60-79,0.3555387332828665
2021-07-11,80-89,0.4035610648498612
2021-07-11,90+,0.19365064345193037
2021-07-12,0-19,0.00022071227002569722
2021-07-12,20-39,0.002585486591729596
2021-07-12,40-59,0.04446563982910564
2021-07-12,60-79,0.3555438192681812
2021-07-12,80-89,0.40354085541769796
2021-07-12,90+,0.19364348662325992
2021-07-13,0-19,0.00022063574614281437
2021-07-13,20-39,0.002592470017178069
2021-07-13,40-59,0.044465982695853626
2021-07-13,60-79,0.3555623847572219
2021-07-13,80-89,0.4035348998471309
2021-07-13,90+,0.19362362693647267
2021-07-14,0-19,0.00022042557881395294
2021-07-14,20-39,0.002582128208963449
2021-07-14,40-59,0.044557456288820484
2021-07-14,60-79,0.35562518204791105
2021-07-14,80-89,0.4034654049926394
2021-07-14,90+,0.1935494028828517
2021-07-15,0-19,0.00022034578549337783
2021-07-15,20-39,0.00258119348720814
2021-07-15,40-59,0.04458854359305281
2021-07-15,60-79,0.35562235880163373
2021-07-15,80-89,0.4034688722230529
2021-07-15,90+,0.19351868610955908
2021-07-16,0-19,0.00022030764388842992
2021-07-16,20-39,0.0025728785554113066
2021-07-16,40-59,0.044596561627129314
2021-07-16,60-79,0.355631614146898
2021-07-16,80-89,0.403454109130965
2021-07-16,90+,0.19352452889570793
2021-07-17,0-19,0.00022047764907832468
2021-07-17,20-39,0.0025748639731647204
2021-07-17,40-59,0.044473491499799206
2021-07-17,60-79,0.35552020913879856
2021-07-17,80-89,0.40356858823436775
2021-07-17,90+,0.19364236950479144
2021-07-18,0-19,0.00022046723305748682
2021-07-18,20-39,0.002574742328921364
2021-07-18,40-59,0.044471390439595915
2021-07-18,60-79,0.3555270347944537
2021-07-18,80-89,0.40356527011172966
2021-07-18,90+,0.19364109509224192
2021-07-19,0-19,0.00022044293283576214
2021-07-19,20-39,0.002574458537046222
2021-07-19,40-59,0.04446648873772802
2021-07-19,60-79,0.3555350858546494
2021-07-19,80-89,0.4035680263271845
2021-07-19,90+,0.19363549761055607
2021-07-20,0-19,0.000220416902827634
2021-07-20,20-39,0.002574154543737011
2021-07-20,40-59,0.044476982177719
2021-07-20,60-79,0.3555245922287298
2021-07-20,80-89,0.4035439889161786
2021-07-20,90+,0.193659865230808
2021-07-21,0-19,0.00022040128777323857
2021-07-21,20-39,0.0025739721822088933
2021-07-21,40-59,0.04446595980825088
2021-07-21,60-79,0.35549940570367045
2021-07-21,80-89,0.4035468864382365
2021-07-21,90+,0.19369337457986005
2021-07-22,0-19,0.00022033364809568776
2021-07-22,20-39,0.002581051306263771
2021-07-22,40-59,0.044460182562165565
2021-07-22,60-79,0.3554689959080894
2021-07-22,80-89,0.40353320742839155
2021-07-22,90+,0.193736229146994
2021-07-23,0-19,0.0002203041771245584
2021-07-23,20-39,0.002580706074887684
2021-07-23,40-59,0.044477839760183165
2021-07-23,60-79,0.35546865779680087
2021-07-23,80-89,0.40351070442260634
2021-07-23,90+,0.19374178776839737
2021-07-24,0-19,0.00022029897718332022
2021-07-24,20-39,0.002572777340676633
2021-07-24,40-59,0.044492525570416996
2021-07-24,60-79,0.35547600314712824
2021-07-24,80-89,0.40350118017309206
2021-07-24,90+,0.19373721479150274
2021-07-25,0-19,0.00022815961732124875
2021-07-25,20-39,0.0025726963746223563
2021-07-25,40-59,0.044498992950654584
2021-07-25,60-79,0.35546481621349446
2021-07-25,80-89,0.40349634944612284
2021-07-25,90+,0.1937389853977845
2021-07-26,0-19,0.0002281201327816497
2021-07-26,20-39,0.0025722511523999813
2021-07-26,40-59,0.04450702452684738
2021-07-26,60-79,0.3554740965656121
2021-07-26,80-89,0.40349731762188695
2021-07-26,90+,0.19372119000047197
2021-07-27,0-19,0.00023595664689874313
2021-07-27,20-39,0.0025640622296330086
2021-07-27,40-59,0.04452501926979283
2021-07-27,60-79,0.3555001494392097
2021-07-27,80-89,0.4034308096459077
2021-07-27,90+,0.193744002768558
2021-07-28,0-19,0.00023580827215418716
2021-07-28,20-39,0.002562449890742167
2021-07-28,40-59,0.044520601782710535
2021-07-28,60-79,0.3555910141327758
2021-07-28,80-89,0.4034522331043373
2021-07-28,90+,0.19363789281728003
2021-07-29,0-19,0.00023576750180755084
2021-07-29,20-39,0.0025698657697023042
2021-07-29,40-59,0.04452076325799252
2021-07-29,60-79,0.3555688283926943
2021-07-29,80-89,0.4034217723429003
2021-07-29,90+,0.19368300273490302
2021-07-30,0-19,0.00023573785950023574
2021-07-30,20-39,0.0025774005972025774
2021-07-30,40-59,0.04452302373094452
2021-07-30,60-79,0.35557127141285555
2021-07-30,80-89,0.40341819896275344
2021-07-30,90+,0.19367436743674368
2021-07-31,0-19,0.00023573785950023574
2021-07-31,20-39,0.0025774005972025774
2021-07-31,40-59,0.04452302373094452
2021-07-31,60-79,0.35557127141285555
2021-07-31,80-89,0.40341819896275344
2021-07-31,90+,0.19367436743674368
2021-08-01,0-19,0.00023570081709616594
2021-08-01,20-39,0.002576995600251414
2021-08-01,40-59,0.04451602765556254
2021-08-01,60-79,0.35558610936517915
2021-08-01,80-89,0.403401948460088
2021-08-01,90+,0.19368321810182276
2021-08-02,0-19,0.0002356711915535445
2021-08-02,20-39,0.002576671694318753
2021-08-02,40-59,0.04451043237807944
2021-08-02,60-79,0.35558854952237307
2021-08-02,80-89,0.403390522875817
2021-08-02,90+,0.19369815233785823
2021-08-03,0-19,0.00023564342437024295
2021-08-03,20-39,0.0025763681064479896
2021-08-03,40-59,0.044544461986788256
2021-08-03,60-79,0.3556016369363213
2021-08-03,80-89,0.40335084949454486
2021-08-03,90+,0.19369104005152737
2021-08-04,0-19,0.00023558420957571285
2021-08-04,20-39,0.002583573498346984
2021-08-04,40-59,0.0445489740307673
2021-08-04,60-79,0.3556065115475527
2021-08-04,80-89,0.4033515780215638
2021-08-04,90+,0.19367377869219352
2021-08-05,0-19,0.00023559345992555246
2021-08-05,20-39,0.002591528059181077
2021-08-05,40-59,0.04454287015659112
2021-08-05,60-79,0.3555733559503055
2021-08-05,80-89,0.4033595627385384
2021-08-05,90+,0.1936970896354584
2021-08-06,0-19,0.00023559160979746974
2021-08-06,20-39,0.002599360761432083
2021-08-06,40-59,0.04455037341270153
2021-08-06,60-79,0.35552344529170166
2021-08-06,80-89,0.40340351345620745
2021-08-06,90+,0.1936877154681598
2021-08-07,0-19,0.00024335102207429272
2021-08-07,20-39,0.0025905108801456966
2021-08-07,40-59,0.04456463717147612
2021-08-07,60-79,0.3555829434483625
2021-08-07,80-89,0.40338179420353565
2021-08-07,90+,0.19363676327440577
2021-08-08,0-19,0.00024333383046696547
2021-08-08,20-39,0.002590327872712858
2021-08-08,40-59,0.04456148888906332
2021-08-08,60-79,0.3555892210962582
2021-08-08,80-89,0.40336899613020716
2021-08-08,90+,0.19364663218129155
2021-08-09,0-19,0.00024329563559022738
2021-08-09,20-39,0.002589921282089517
2021-08-09,40-59,0.04457803903717714
2021-08-09,60-79,0.355580495538272
2021-08-09,80-89,0.40336846731597825
2021-08-09,90+,0.1936397811908929
2021-08-10,0-19,0.00024324027431225773
2021-08-10,20-39,0.002589331952356292
2021-08-10,40-59,0.04459143480376002
2021-08-10,60-79,0.35560943458405914
2021-08-10,80-89,0.4033551464934168
2021-08-10,90+,0.19361141189209546
2021-08-11,0-19,0.00024318684594505546
2021-08-11,20-39,0.0025887631987699454
2021-08-11,40-59,0.04461301912546872
2021-08-11,60-79,0.3555862371934669
2021-08-11,80-89,0.40335284057925536
2021-08-11,90+,0.193615953057094
2021-08-12,0-19,0.00024316014056224898
