Data,Età,Daily_extinct,Extinct,Infected,Recovered
2022-10-30,30-39,0.0,0.0025858443492197004,0.12076512123976818,0.134482857779599
2022-10-30,40-49,0.019417475728155338,0.009485218063401494,0.14712449081867363,0.16240492519823727
2022-10-30,50-59,0.019417475728155338,0.035735800588776866,0.16847235964585394,0.1605790037454799
2022-10-30,60-69,0.019417475728155338,0.09960331442730652,0.1286566286734943,0.10481781223715142
2022-10-30,70-79,0.18446601941747573,0.2428079428045329,0.10226593721489058,0.072813234628076
2022-10-30,80-89,0.4563106796116505,0.40327237181600156,0.06635419745312962,0.03988464317294628
2022-10-30,>90,0.30097087378640774,0.20532172450243807,0.017839015175852277,0.009703066476876514
2022-10-31,0-9,0.0,0.00023301015014946748,0.06677985376697806,0.08478591994306295
2022-10-31,10-19,0.0,0.00019322792939224133,0.08816707572506136,0.11639038360615668
2022-10-31,20-29,0.0,0.0007615453687811864,0.09357532028629804,0.114138153212414
2022-10-31,30-39,0.0,0.0025858443492197004,0.12076512123976818,0.134482857779599
2022-10-31,40-49,0.019417475728155338,0.009485218063401494,0.14712449081867363,0.16240492519823727
2022-10-31,50-59,0.019417475728155338,0.035735800588776866,0.16847235964585394,0.1605790037454799
2022-10-31,60-69,0.019417475728155338,0.09960331442730652,0.1286566286734943,0.10481781223715142
2022-10-31,70-79,0.18446601941747573,0.2428079428045329,0.10226593721489058,0.072813234628076
2022-10-31,80-89,0.4563106796116505,0.40327237181600156,0.06635419745312962,0.03988464317294628
2022-10-31,>90,0.30097087378640774,0.20532172450243807,0.017839015175852277,0.009703066476876514
2022-11-01,0-9,0.0,0.00023301015014946748,0.06677985376697806,0.08478591994306295
2022-11-01,10-19,0.0,0.00019322792939224133,0.08816707572506136,0.11639038360615668
2022-11-01,20-29,0.0,0.0007615453687811864,0.09357532028629804,0.114138153212414
2022-11-01,30-39,0.0,0.0025858443492197004,0.12076512123976818,0.134482857779599
2022-11-01,40-49,0.019417475728155338,0.009485218063401494,0.14712449081867363,0.16240492519823727
2022-11-01,50-59,0.019417475728155338,0.035735800588776866,0.16847235964585394,0.1605790037454799
2022-11-01,60-69,0.019417475728155338,0.09960331442730652,0.1286566286734943,0.10481781223715142
2022-11-01,70-79,0.18446601941747573,0.2428079428045329,0.10226593721489058,0.072813234628076
2022-11-01,80-89,0.4563106796116505,0.40327237181600156,0.06635419745312962,0.03988464317294628
2022-11-01,>90,0.30097087378640774,0.20532172450243807,0.017839015175852277,0.009703066476876514
2022-11-02,0-9,0.0,0.00023253176043557168,0.06734023649220781,0.08442062407757936
2022-11-02,10-19,0.0,0.0001928312159709619,0.08915495320150942,0.11592201704490916
2022-11-02,20-29,0.0027624309392265192,0.0007656533575317604,0.0937444545551044,0.11382254325716934
2022-11-02,30-39,0.0027624309392265192,0.002586206896551724,0.12105701142756667,0.1342665855795179
2022-11-02,40-49,0.0027624309392265192,0.009471415607985482,0.14725217381439906,0.16227321589149776
2022-11-02,50-59,0.019337016574585635,0.035702132486388385,0.16759134639148024,0.160867569393667
2022-11-02,60-69,0.052486187845303865,0.09950657894736842,0.12783754591324514,0.105245398600452
2022-11-02,70-79,0.15469613259668508,0.24262704174228675,0.10153947627501679,0.07327617111983752
2022-11-02,80-89,0.4972375690607735,0.4034652903811252,0.06650725496122341,0.04015813958388935
2022-11-02,>90,0.26795580110497236,0.20545031760435573,0.017975546968247037,0.009747735451480619
2022-11-03,0-9,0.0,0.00023248956632190165,0.06738707480787315,0.08440343387290813
2022-11-03,10-19,0.0,0.00019279622573035746,0.08921252310386199,0.11590229319850992
2022-11-03,20-29,0.0,0.0007655144256940664,0.09378627711663802,0.11380491622520347
2022-11-03,30-39,0.0,0.0025857376156777356,0.12114287103991699,0.13425274613205043
2022-11-03,40-49,0.0,0.00946969696969697,0.14734021855442783,0.1622646654709837
2022-11-03,50-59,0.0,0.03569565414625295,0.1676748597555044,0.16087496856255387
